Idx,place,datetime,RH,temp,Air_velo,RAD(MJ/m2)
974,daegok,2021/01/01 0:00,59.6,-0.5,5.2,13.4
974,daegok,2021/01/01 1:00,54.3,-1.2,3,0.17
974,daegok,2021/01/01 2:00,52.9,-2.3,2.5,0.36
974,daegok,2021/01/01 3:00,56.1,-3.6,1.2,0.53
974,daegok,2021/01/01 4:00,56.9,-2.8,3.8,0.69
974,daegok,2021/01/01 5:00,59.8,-3,,0.86
974,daegok,2021/01/01 6:00,71.8,-4.5,1.2,1.02
974,daegok,2021/01/01 7:00,78.9,-6.5,0.5,1.17
974,daegok,2021/01/01 8:00,81.1,-6.3,,1.31
974,daegok,2021/01/01 9:00,65.9,-3.3,0.5,1.77
974,daegok,2021/01/01 10:00,58.3,-1.7,1.4,2.71
974,daegok,2021/01/01 11:00,53.7,0.2,,4.1
974,daegok,2021/01/01 12:00,52.3,1.3,,5.76
974,daegok,2021/01/01 13:00,49,2.2,,7.61
974,daegok,2021/01/01 14:00,50.8,3.1,3.2,9.13
974,daegok,2021/01/01 15:00,47.6,3.4,2.1,9.75
974,daegok,2021/01/01 16:00,45.6,3.6,,10.21
974,daegok,2021/01/01 17:00,49.6,2.7,0.9,10.5
974,daegok,2021/01/01 18:00,50.7,1.2,,10.6
974,daegok,2021/01/01 19:00,67.6,-0.7,,10.7
974,daegok,2021/01/01 20:00,78.5,-2.4,,10.83
974,daegok,2021/01/01 21:00,79.6,-3.7,,10.97
974,daegok,2021/01/01 22:00,83.7,-4.9,,11.1
974,daegok,2021/01/01 23:00,84.9,-5.5,,11.23
974,daegok,2021/01/02 0:00,84.7,-5.5,0.6,11.35
974,daegok,2021/01/02 1:00,91.1,-5.3,0.7,0.1
974,daegok,2021/01/02 2:00,91.9,-5.2,0.7,0.19
974,daegok,2021/01/02 3:00,88.7,-4,0.6,0.19
974,daegok,2021/01/02 4:00,85.8,-3.7,0.3,0.23
974,daegok,2021/01/02 5:00,85.8,-3.7,0.3,0.26
974,daegok,2021/01/02 6:00,86,-3.5,0.4,0.29
974,daegok,2021/01/02 7:00,83.6,-3.8,0.3,0.35
974,daegok,2021/01/02 8:00,86.3,-3.7,0.4,0.44
974,daegok,2021/01/02 9:00,81.3,-1.5,0.6,0.77
974,daegok,2021/01/02 10:00,72.1,-0.3,0.6,1.54
974,daegok,2021/01/02 11:00,60.1,2,1.5,2.82
974,daegok,2021/01/02 12:00,44.6,2.8,3.6,4.1
974,daegok,2021/01/02 13:00,36.9,4.2,4.5,5.42
974,daegok,2021/01/02 14:00,33.9,4.6,4.6,7.04
974,daegok,2021/01/02 15:00,32.9,3.7,5.6,8.46
974,daegok,2021/01/02 16:00,28.2,3.5,3.3,9.48
974,daegok,2021/01/02 17:00,26.5,2.6,3.5,10.03
974,daegok,2021/01/02 18:00,27.5,0.7,1.6,10.23
974,daegok,2021/01/02 19:00,32.9,-1.1,0.4,10.37
974,daegok,2021/01/02 20:00,33.5,-0.8,1.7,10.53
974,daegok,2021/01/02 21:00,36.2,-1,,10.7
974,daegok,2021/01/02 22:00,39.7,-1.9,2.2,10.85
974,daegok,2021/01/02 23:00,50.1,-4.1,0.7,11.01
974,daegok,2021/01/03 0:00,56.6,-3.8,2.2,11.15
974,daegok,2021/01/03 1:00,64,-5.5,0.5,0.14
974,daegok,2021/01/03 2:00,75.5,-6.1,0.6,0.25
974,daegok,2021/01/03 3:00,73.4,-5.5,0.6,0.35
974,daegok,2021/01/03 4:00,38.7,-1.7,4.1,0.45
974,daegok,2021/01/03 5:00,40.1,-1.9,4.2,0.55
974,daegok,2021/01/03 6:00,41.1,-2.1,2.6,0.64
974,daegok,2021/01/03 7:00,41.8,-2.4,1.7,0.73
974,daegok,2021/01/03 8:00,40.6,-2.4,1.8,0.83
974,daegok,2021/01/03 9:00,32,-1.6,1.8,1.2
974,daegok,2021/01/03 10:00,26.8,-0.1,3,2.13
974,daegok,2021/01/03 11:00,29.6,1.4,2.8,3.48
974,daegok,2021/01/03 12:00,28.7,2.7,2.9,5.07
974,daegok,2021/01/03 13:00,24.4,4.4,3.6,6.8
974,daegok,2021/01/03 14:00,21.9,4.9,4.5,8.47
974,daegok,2021/01/03 15:00,22.6,5.3,,9.74
974,daegok,2021/01/03 16:00,22.1,4.3,4.2,10.26
974,daegok,2021/01/03 17:00,25,3.4,,10.48
974,daegok,2021/01/03 18:00,30.7,1.9,0.9,10.59
974,daegok,2021/01/03 19:00,35.9,0.8,0.6,10.69
974,daegok,2021/01/03 20:00,49.1,-1.1,0.6,10.82
974,daegok,2021/01/03 21:00,55.9,-2.9,0.7,10.94
974,daegok,2021/01/03 22:00,60.7,-2.9,0.8,11.06
974,daegok,2021/01/03 23:00,62.8,-3.8,,11.16
974,daegok,2021/01/04 0:00,63.7,-4,0.2,11.25
974,daegok,2021/01/04 1:00,66.3,-4.5,0.1,0.09
974,daegok,2021/01/04 2:00,69.4,-5.2,0.3,0.2
974,daegok,2021/01/04 3:00,75.1,-6.6,0.4,0.34
974,daegok,2021/01/04 4:00,80.6,-7,1,0.47
974,daegok,2021/01/04 5:00,78.8,-7.2,0.8,0.6
974,daegok,2021/01/04 6:00,79.4,-7.5,0.4,0.72
974,daegok,2021/01/04 7:00,88.7,-8,0.5,0.84
974,daegok,2021/01/04 8:00,80.6,-7.2,0.3,0.97
974,daegok,2021/01/04 9:00,68.6,-4.7,0.4,1.39
974,daegok,2021/01/04 10:00,56.5,-1.9,1.9,2.28
974,daegok,2021/01/04 11:00,45.3,1.1,0.6,3.55
974,daegok,2021/01/04 12:00,39.8,2.7,0.9,5.12
974,daegok,2021/01/04 13:00,35.3,4.9,1.2,6.83
974,daegok,2021/01/04 14:00,35.2,5.5,1.1,8.48
974,daegok,2021/01/04 15:00,30.1,7.1,0.7,9.89
974,daegok,2021/01/04 16:00,26.1,7,0.4,10.86
974,daegok,2021/01/04 17:00,31.5,5.7,0.8,11.32
974,daegok,2021/01/04 18:00,59.3,-0.3,0.8,11.44
974,daegok,2021/01/04 19:00,70.5,-1.6,0.1,11.57
974,daegok,2021/01/04 20:00,71,-2.7,0.4,11.69
974,daegok,2021/01/04 21:00,74.3,-3.1,0.2,11.8
974,daegok,2021/01/04 22:00,74.4,-3.4,0.4,11.88
974,daegok,2021/01/04 23:00,70.6,-3,0.7,11.96
974,daegok,2021/01/05 0:00,71.7,-3.4,0.3,12.04
